"indicador","estrato","formulacao","invertivel","loglik","bic","var_e","rrse","vicio"
"desocupados","01 - Belo Horizonte","AR(1)",NA,-195.58,410.9,0.699,18.85,-0.08
"desocupados","01 - Belo Horizonte","AR(2)",NA,-200.18,420.1,0.9,13.54,-0.28
"desocupados","01 - Belo Horizonte","ARMA(1,1)",NA,-195.28,410.3,4.352,-112.92,-9.25
"desocupados","01 - Belo Horizonte","MA(1)",TRUE,-197.75,415.2,0.467,23.01,0.01
"desocupados","01 - Belo Horizonte","MA(2)",FALSE,-202.41,424.6,0.896,13.87,-0.14
"desocupados","01 - Belo Horizonte","MA(3)",FALSE,-208.92,437.6,0.794,16.4,-0.17
"desocupados","01 - Belo Horizonte","MA(4)",FALSE,-213.8,447.3,0.846,14.85,-0.14
"desocupados","02 - Colar e Entorno","AR(1)",NA,-217.8,455.4,0.799,12.44,0.13
"desocupados","02 - Colar e Entorno","AR(2)",NA,-224.02,467.8,0,66.04,-0.1
"desocupados","02 - Colar e Entorno","ARMA(1,1)",NA,-222.29,464.3,-7.584,-391.18,-26.08
"desocupados","02 - Colar e Entorno","MA(1)",FALSE,-219.19,458.1,0.667,16.12,0.16
"desocupados","02 - Colar e Entorno","MA(2)",FALSE,-225.96,471.7,0,60.72,0
"desocupados","02 - Colar e Entorno","MA(3)",FALSE,-231.91,483.6,0,30.82,0.03
"desocupados","02 - Colar e Entorno","MA(4)",FALSE,-237.81,495.4,0,31.73,0.03
"desocupados","03 - Sul de Minas","AR(1)",NA,-198.87,417.5,0.557,26.64,-0.64
"desocupados","03 - Sul de Minas","AR(2)",NA,-201.29,422.3,0.537,26.73,-0.58
"desocupados","03 - Sul de Minas","ARMA(1,1)",NA,-200.07,419.9,0.462,31.36,-0.47
"desocupados","03 - Sul de Minas","MA(1)",TRUE,-199.37,418.5,0.61,26.02,-0.65
"desocupados","03 - Sul de Minas","MA(2)",TRUE,-206.29,432.3,0.486,29.19,-0.55
"desocupados","03 - Sul de Minas","MA(3)",FALSE,-212.39,444.5,0.541,25.99,-0.54
"desocupados","03 - Sul de Minas","MA(4)",FALSE,-218.16,456.1,0.561,24.72,-0.31
"desocupados","04 - Triângulo Mineiro","AR(1)",NA,-192.73,405.2,0.442,40.01,-0.38
"desocupados","04 - Triângulo Mineiro","AR(2)",NA,-196.77,413.3,0.451,39.02,-0.34
"desocupados","04 - Triângulo Mineiro","ARMA(1,1)",NA,-194.77,409.3,0.57,32.08,-0.71
"desocupados","04 - Triângulo Mineiro","MA(1)",TRUE,-194.68,409.1,0.444,40.12,-0.35
"desocupados","04 - Triângulo Mineiro","MA(2)",TRUE,-201,421.8,0.424,39.27,-0.31
"desocupados","04 - Triângulo Mineiro","MA(3)",FALSE,-206.27,432.3,0.464,38.37,-0.33
"desocupados","04 - Triângulo Mineiro","MA(4)",FALSE,-213.01,445.8,0.482,36.64,-0.49
"desocupados","05 - Zona da Mata","AR(1)",NA,-190.6,401,0.617,27.76,-0.94
"desocupados","05 - Zona da Mata","AR(2)",NA,-193.23,406.2,0.611,28.16,-0.81
"desocupados","05 - Zona da Mata","ARMA(1,1)",NA,-191.34,402.4,0.766,21.28,-1.34
"desocupados","05 - Zona da Mata","MA(1)",TRUE,-192.51,404.8,0.587,29.19,-1.04
"desocupados","05 - Zona da Mata","MA(2)",TRUE,-197.89,415.5,0.579,29.08,-0.84
"desocupados","05 - Zona da Mata","MA(3)",FALSE,-204.12,428,0.6,27.78,-0.93
"desocupados","05 - Zona da Mata","MA(4)",FALSE,-210.5,440.8,0.592,27.36,-0.99
"desocupados","06 - Norte de Minas","AR(1)",NA,-208.15,436.1,0.853,12.05,-0.49
"desocupados","06 - Norte de Minas","AR(2)",NA,-210.98,441.7,0.951,9.47,-0.54
"desocupados","06 - Norte de Minas","ARMA(1,1)",NA,-208.92,437.6,0.972,5.39,-0.71
"desocupados","06 - Norte de Minas","MA(1)",TRUE,-210.89,441.5,0.075,33.15,0.15
"desocupados","06 - Norte de Minas","MA(2)",TRUE,-214.1,448,0.879,13.3,-0.41
"desocupados","06 - Norte de Minas","MA(3)",FALSE,-221.49,462.7,0.491,19.08,-0.28
"desocupados","06 - Norte de Minas","MA(4)",FALSE,-227.38,474.5,0.924,8.43,-0.78
"desocupados","07 - Vale do Rio Doce","AR(1)",NA,-199.15,418,0.185,48.55,-0.23
"desocupados","07 - Vale do Rio Doce","AR(2)",NA,-203.74,427.2,0.216,45.19,-0.42
"desocupados","07 - Vale do Rio Doce","ARMA(1,1)",NA,-198.35,416.5,2.729,-47.15,-8.91
"desocupados","07 - Vale do Rio Doce","MA(3)",FALSE,-212.59,444.9,0.042,61.5,-0.05
"desocupados","07 - Vale do Rio Doce","MA(4)",FALSE,-217.57,454.9,0.15,49.68,-0.14
"desocupados","08 - Central","AR(1)",NA,-197.18,414.1,0.577,27.48,-0.35
"desocupados","08 - Central","AR(2)",NA,-201.37,422.5,0.554,28.45,-0.19
"desocupados","08 - Central","ARMA(1,1)",NA,-199.46,418.7,0.179,50.58,-0.01
"desocupados","08 - Central","MA(1)",TRUE,-198.08,415.9,0.543,29.64,-0.28
"desocupados","08 - Central","MA(2)",TRUE,-203.91,427.6,0.558,28.51,-0.21
"desocupados","08 - Central","MA(3)",FALSE,-209.98,439.7,0.547,28.06,-0.29
"desocupados","08 - Central","MA(4)",FALSE,-215.96,451.7,0.523,28.25,-0.38
"ocupados","01 - Belo Horizonte","AR(1)",NA,-229.52,478.8,2.24,-22.36,-0.73
"ocupados","01 - Belo Horizonte","AR(2)",NA,-235.11,490,0,67.54,0.12
"ocupados","02 - Colar e Entorno","AR(1)",NA,-248.2,516.2,2.061,-22.37,-0.33
"ocupados","02 - Colar e Entorno","AR(2)",NA,-252.31,524.4,0.178,48.74,-0.1
"ocupados","03 - Sul de Minas","AR(1)",NA,-229.94,479.6,0.276,49.77,-0.24
"ocupados","03 - Sul de Minas","AR(2)",NA,-234.12,488,0.264,49.47,-0.24
"ocupados","04 - Triângulo Mineiro","AR(1)",NA,-252.14,524,0.585,33.78,-1.96
"ocupados","04 - Triângulo Mineiro","AR(2)",NA,-252.37,524.5,0.959,32.26,-2.64
"ocupados","05 - Zona da Mata","AR(1)",NA,-238.29,496.3,0.421,38.87,-0.29
"ocupados","05 - Zona da Mata","AR(2)",NA,-243.51,506.8,0.217,50.94,-0.35
"ocupados","06 - Norte de Minas","AR(1)",NA,-251.43,522.6,0.841,15.62,-1.1
