"estrato","modelo","coefs","invertivel","loglik","aic","bic","var_e","rrse"
"01 - Belo Horizonte","AR(1)","phi=0.314",NA,-195.58,401.2,410.9,0.699,18.85
"01 - Belo Horizonte","MA(1)","0.353",TRUE,-196.7,403.4,413.2,0.468,23
"01 - Belo Horizonte","MA(2)","0.280 0.333",TRUE,-200.21,410.4,420.2,0.895,13.93
"01 - Belo Horizonte","MA(3)","1.861 -0.091 0.824",FALSE,-208.34,426.7,436.4,0.793,16.45
"01 - Belo Horizonte","MA(4)","-0.565 1.811 1.600 0.676",FALSE,-212.23,434.5,444.2,0.831,15.54
"02 - Colar e Entorno Metrop. de BH","AR(1)","phi=0.362",NA,-217.8,445.6,455.4,0.808,12.18
"02 - Colar e Entorno Metrop. de BH","MA(1)","0.428",TRUE,-218.34,446.7,456.4,0.667,16.14
"02 - Colar e Entorno Metrop. de BH","MA(2)","0.332 0.589",TRUE,-225.12,460.2,470,0,33.7
"02 - Colar e Entorno Metrop. de BH","MA(3)","3.054 0.357 1.611",FALSE,-233.34,476.7,486.4,0,30.88
"02 - Colar e Entorno Metrop. de BH","MA(4)","-0.437 1.395 1.270 1.175",FALSE,-238.45,486.9,496.7,0,31.72
"03 - Sul de Minas","AR(1)","phi=0.399",NA,-198.87,407.7,417.5,0.556,26.66
"03 - Sul de Minas","MA(1)","0.499",TRUE,-198.67,407.3,417.1,0.61,26.03
"03 - Sul de Minas","MA(2)","0.404 0.182",TRUE,-202.89,415.8,425.5,0.485,29.2
"03 - Sul de Minas","MA(3)","-0.055 4.702 2.606",FALSE,-215.26,440.5,450.3,0.542,25.97
"03 - Sul de Minas","MA(4)","0.321 3.760 1.733 -0.402",FALSE,-215.08,440.2,449.9,0.569,24.73
"04 - Triângulo Mineiro","AR(1)","phi=0.224",NA,-192.73,395.5,405.2,0.442,40.01
"04 - Triângulo Mineiro","MA(1)","0.237",TRUE,-193.24,396.5,406.2,0.445,40.11
"04 - Triângulo Mineiro","MA(2)","0.220 0.073",TRUE,-195.77,401.5,411.3,0.424,39.27
"04 - Triângulo Mineiro","MA(3)","1.349 -0.363 0.430",FALSE,-203.74,417.5,427.2,0.463,38.39
"04 - Triângulo Mineiro","MA(4)","3.100 2.557 -1.541 1.454",FALSE,-214.51,439,448.8,0.482,36.64
"05 - Zona da Mata","AR(1)","phi=0.315",NA,-190.6,391.2,401,0.618,27.74
"05 - Zona da Mata","MA(1)","0.354",TRUE,-191.48,393,402.7,0.586,29.2
"05 - Zona da Mata","MA(2)","0.311 0.128",TRUE,-193.77,397.5,407.3,0.579,29.1
"05 - Zona da Mata","MA(3)","0.260 8.470 2.683",FALSE,-207.08,424.2,433.9,0.599,27.82
"05 - Zona da Mata","MA(4)","2.174 2.227 -1.077 0.686",FALSE,-208.99,428,437.7,0.592,27.36
"06 - Norte de Minas","AR(1)","phi=0.458",NA,-208.15,426.3,436.1,0.853,12.05
"06 - Norte de Minas","MA(1)","0.655",TRUE,-210.47,430.9,440.7,0.076,33.12
"06 - Norte de Minas","MA(2)","1.546 3.368",FALSE,-216.53,443.1,452.8,0.88,13.29
"06 - Norte de Minas","MA(3)","0.034 2.113 2.020",FALSE,-223.6,457.2,467,0.491,19.08
"06 - Norte de Minas","MA(4)","-0.394 1.289 1.957 0.931",FALSE,-227.09,464.2,473.9,0.923,8.44
"07 - Vale do Rio Doce","AR(1)","phi=0.571",NA,-199.15,408.3,418,0.187,48.33
"07 - Vale do Rio Doce","MA(1)","1.000",FALSE,-199.99,410,419.7,0,63.28
"07 - Vale do Rio Doce","MA(2)","0.675 1.000",FALSE,-206.34,422.7,432.4,0,64.48
"07 - Vale do Rio Doce","MA(3)","0.863 0.559 1.223",FALSE,-213.19,436.4,446.1,0.042,61.58
"07 - Vale do Rio Doce","MA(4)","1.183 0.847 0.183 1.146",FALSE,-218.11,446.2,456,0.15,49.67
"08 - Central","AR(1)","phi=0.301",NA,-197.18,404.4,414.1,0.577,27.47
"08 - Central","MA(1)","0.335",TRUE,-196.99,404,413.7,0.543,29.62
"08 - Central","MA(2)","0.323 0.031",TRUE,-197.2,404.4,414.2,0.558,28.69
"08 - Central","MA(3)","1.919 -0.229 0.189",FALSE,-204.98,420,429.7,0.546,28.1
"08 - Central","MA(4)","2.493 2.054 -1.270 0.725",FALSE,-214.67,439.3,449.1,0.524,28.22
