"indicador","estrato","versao","lag","fac","facp"
"desocupados","01-Belo Horizonte","padrao",1,0.3078,0.3078
"desocupados","01-Belo Horizonte","padrao",2,0.2693,0.1928
"desocupados","01-Belo Horizonte","padrao",3,0.1504,0.0278
"desocupados","01-Belo Horizonte","padrao",4,0.0812,-0.016
"desocupados","01-Belo Horizonte","padrao",5,0.105,0.0611
"desocupados","01-Belo Horizonte","padrao",6,-0.055,-0.1261
"desocupados","01-Belo Horizonte","padrao",7,-0.1259,-0.1381
"desocupados","01-Belo Horizonte","padrao",8,-0.0512,0.0438
"desocupados","01-Belo Horizonte","padrao",9,-0.0138,0.0683
"desocupados","01-Belo Horizonte","padrao",10,-0.0272,-0.0228
"desocupados","01-Belo Horizonte","padrao",11,-0.0351,-0.0166
"desocupados","01-Belo Horizonte","padrao",12,0.033,0.0827
"desocupados","01-Belo Horizonte","legado",1,0.3139,0.3139
"desocupados","01-Belo Horizonte","legado",2,0.2799,0.2012
"desocupados","01-Belo Horizonte","legado",3,0.1599,0.0307
"desocupados","01-Belo Horizonte","legado",4,0.0888,-0.0164
"desocupados","01-Belo Horizonte","legado",5,0.1179,0.0696
"desocupados","01-Belo Horizonte","legado",6,-0.059,-0.1408
"desocupados","01-Belo Horizonte","legado",7,-0.1424,-0.1612
"desocupados","01-Belo Horizonte","legado",8,-0.0581,0.0508
"desocupados","01-Belo Horizonte","legado",9,-0.0148,0.0841
"desocupados","01-Belo Horizonte","legado",10,-0.0319,-0.0279
"desocupados","01-Belo Horizonte","legado",11,-0.0416,-0.0198
"desocupados","01-Belo Horizonte","legado",12,0.0471,0.1145
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",1,0.3547,0.3547
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",2,0.3888,0.3009
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",3,0.116,-0.1096
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",4,0.1765,0.0703
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",5,0.1017,0.0521
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",6,0.1071,-1e-04
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",7,0.0557,-0.0097
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",8,0.1262,0.1001
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",9,0.0918,0.0257
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",10,0.1214,0.0218
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",11,0.0571,-0.0155
"desocupados","02-Colar e Entorno Metropolitano de BH","padrao",12,0.1309,0.085
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",1,0.3616,0.3616
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",2,0.4043,0.3147
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",3,0.1235,-0.1156
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",4,0.1917,0.0771
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",5,0.1135,0.0598
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",6,0.1223,0.0011
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",7,0.0648,-0.0119
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",8,0.1491,0.1201
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",9,0.1108,0.0328
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",10,0.1506,0.029
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",11,0.0717,-0.0202
"desocupados","02-Colar e Entorno Metropolitano de BH","legado",12,0.1686,0.1127
