"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse","situacao"
"desocupados","01-Belo Horizonte","AR(1)",5,-195.79,402.9,411.3,0.6517,281.16,11.87,"passa"
"desocupados","02-Colar e Entorno metropolitano de BH","MA(1)",5,-219.61,450.5,459,0.0531,693.39,6.84,"passa"
"desocupados","03-Sul de Minas","AR(1)",5,-199.27,409.8,418.3,0.0609,310.021,11.7,"passa"
"desocupados","04-Triângulo Mineiro","AR(1)",5,-194.63,400.6,409,0.4576,249.241,21.75,"passa"
"desocupados","05-Mata de Minas Gerais","AR(1)",5,-191.16,393.6,402.1,0.2386,207.53,16.87,"passa"
"desocupados","06-Norte de Minas","AR(1)",5,-208.2,427.7,436.2,0.0848,429.302,9.13,"passa"
"desocupados","07-Vale do Rio Doce","AR(1)",5,-199.9,411.1,419.6,0.8273,278.498,6.14,"passa"
"desocupados","08-Central","AR(3)",7,-208.18,432.9,444,0.0929,316.807,11.66,"passa"
"ocupados","01-Belo Horizonte","AR(1)",5,-229.75,470.8,479.2,0.1924,1010.016,4.09,"passa"
"ocupados","02-Colar e Entorno metropolitano de BH","AR(1)",5,-248.25,507.8,516.3,0.0542,2160.519,4.56,"passa"
"ocupados","03-Sul de Minas","AR(1)",5,-234.14,479.6,488,0.9471,1043.865,19.29,"passa"
"ocupados","04-Triângulo Mineiro","AR(1)",5,-252.87,517.1,525.5,0.4597,2469.279,30.99,"passa"
"ocupados","05-Mata de Minas Gerais","AR(1)",5,-239.64,490.6,499,0.5193,1615.852,15.48,"passa"
"ocupados","06-Norte de Minas","AR(1)",5,-253.45,518.2,526.7,0.4254,2649.815,12.51,"passa"
"ocupados","07-Vale do Rio Doce","AR(1)",5,-230.71,472.7,481.2,0.6969,995.605,25.02,"passa"
"ocupados","08-Central","AR(1)",5,-255.84,523,531.4,0.6172,3133.078,10.86,"passa"
"taxa","01-Belo Horizonte","AR(1)",5,-71.89,155.1,163.5,0.9307,1.476,11.94,"passa"
"taxa","02-Colar e Entorno metropolitano de BH","AR(2)",6,-88.35,190.6,200.4,0.0144,2.175,5.48,"NENHUM PASSA"
"taxa","03-Sul de Minas","AR(1)",5,-75.54,162.4,170.8,0.0799,1.562,8.78,"passa"
"taxa","04-Triângulo Mineiro","AR(1)",5,-69.27,149.8,158.3,0.244,1.198,20.7,"passa"
"taxa","05-Mata de Minas Gerais","AR(1)",5,-73.44,158.2,166.6,0.2882,1.349,17.39,"passa"
"taxa","06-Norte de Minas","MA(4) desenho",8,-104.04,227.4,239.7,0.1707,2.605,-1.28,"passa"
"taxa","07-Vale do Rio Doce","AR(1)",5,-88.78,188.9,197.3,0.3597,2.434,7.28,"passa"
"taxa","08-Central","AR(3)",7,-87.8,192.1,203.3,0.1338,1.829,8.46,"passa"
