"indicador","estrato","ordem","processo","phi","theta","p","q","npar","loglik","aicc","bic","ljung","eqm1","rrse","diagnostico"
"desocupados","01-Belo Horizonte",1,"AR(1)","0.30783","",1,0,5,-195.79,402.9,411.3,0.652,281.151,11.87,"passa"
"desocupados","02-Colar e Entorno metropolitano de BH",2,"MA(1)","","0.416062",0,1,5,-219.61,450.5,459,0.053,693.391,6.84,"passa"
"desocupados","03-Sul de Minas",3,"AR(1)","0.391525","",1,0,5,-199.27,409.8,418.3,0.0609,310.026,11.71,"passa"
"desocupados","04-Triângulo Mineiro",4,"AR(1)","0.219733","",1,0,5,-194.63,400.6,409,0.4573,249.247,21.76,"passa"
"desocupados","05-Mata de Minas Gerais",5,"AR(1)","0.308874","",1,0,5,-191.16,393.6,402.1,0.2381,207.546,16.86,"passa"
"desocupados","06-Norte de Minas",6,"AR(1)","0.449879","",1,0,5,-208.2,427.7,436.2,0.0848,429.306,9.13,"passa"
"desocupados","07-Vale do Rio Doce",7,"AR(1)","0.560106","",1,0,5,-199.9,411.1,419.6,0.8272,278.501,6.14,"passa"
"desocupados","08-Central",8,"AR(3)","0.318337;-0.083245;0.053929","",3,0,7,-208.18,432.9,444,0.0926,316.824,11.67,"passa"
"ocupados","01-Belo Horizonte",1,"AR(1)","0.660288","",1,0,5,-229.68,470.7,479.1,0.175,1008.371,3.99,"passa"
"ocupados","02-Colar e Entorno metropolitano de BH",2,"AR(1)","0.668273","",1,0,5,-249.19,509.7,518.1,0.3939,2339.035,0.59,"passa"
"ocupados","03-Sul de Minas",3,"AR(1)","0.731289","",1,0,5,-234.14,479.6,488,0.947,1043.793,19.28,"passa"
"ocupados","04-Triângulo Mineiro",4,"AR(1)","0.776197","",1,0,5,-252.92,517.1,525.6,0.4546,2502.836,21.86,"passa"
"ocupados","05-Mata de Minas Gerais",5,"AR(1)","0.693994","",1,0,5,-239.64,490.6,499,0.5185,1616.419,15.58,"passa"
"ocupados","06-Norte de Minas",6,"AR(1)","0.68742","",1,0,5,-251.62,514.5,523,0.5348,2605.935,11.09,"passa"
"ocupados","07-Vale do Rio Doce",7,"AR(1)","0.783132","",1,0,5,-230.71,472.7,481.2,0.6971,995.615,25.01,"passa"
"ocupados","08-Central",8,"AR(1)","0.64946","",1,0,5,-254.01,519.3,527.8,0.6931,2776.742,15.98,"passa"
"taxa","01-Belo Horizonte",1,"AR(1)","0.271402","",1,0,5,-71.89,155.1,163.5,0.9308,1.476,11.93,"passa"
"taxa","02-Colar e Entorno metropolitano de BH",2,"MA(1)","","0.233065",0,1,5,-83.03,177.4,185.8,0.0319,2.095,7.58,"nao passa"
"taxa","03-Sul de Minas",3,"AR(1)","0.354435","",1,0,5,-75.54,162.4,170.8,0.0799,1.562,8.78,"passa"
"taxa","04-Triângulo Mineiro",4,"AR(1)","0.198948","",1,0,5,-69.27,149.8,158.3,0.244,1.198,20.7,"passa"
"taxa","05-Mata de Minas Gerais",5,"AR(1)","0.20393","",1,0,5,-73.44,158.2,166.6,0.2882,1.349,17.39,"passa"
"taxa","06-Norte de Minas",6,"MA(1)","","0.48704",0,1,5,-90.2,191.7,200.2,0.0974,2.689,3.88,"passa"
"taxa","07-Vale do Rio Doce",7,"AR(1)","0.376437","",1,0,5,-88.78,188.9,197.3,0.3597,2.434,7.28,"passa"
"taxa","08-Central",8,"AR(3)","0.327817;-0.08007;0.077614","",3,0,7,-87.8,192.1,203.3,0.1338,1.829,8.46,"passa"
