"indicador","estrato","formulacao","npar","bic","ljung","eqm1","rrse"
"desocupados","01-Belo Horizonte","MA(1)",5,416.7,0.3813,296.504,12.19
"desocupados","02-Colar e Entorno metropolitano de BH","MA(1)",5,459,0.0531,693.39,6.84
"desocupados","03-Sul de Minas","MA(1)",5,419.5,0.0685,299.864,13.93
"desocupados","04-Triângulo Mineiro","MA(1)",5,412.9,0.4033,252.964,22.53
"desocupados","05-Mata de Minas Gerais","AR(2)",6,411.3,0.242,212.249,17.08
"desocupados","06-Norte de Minas","MA(2)",6,452.1,0.2616,403.061,9.9
"desocupados","07-Vale do Rio Doce","AR(1)",5,419.6,0.8273,278.498,6.14
"desocupados","08-Central","MA(1)",5,417.4,0.012,299.969,15.88
"ocupados","01-Belo Horizonte","AR(1)",5,479.2,0.1924,1010.016,4.09
"ocupados","02-Colar e Entorno metropolitano de BH","AR(1)",5,516.3,0.0542,2160.519,4.56
"ocupados","03-Sul de Minas","MA(4) desenho",8,539.1,0.9309,12879.989,32.16
"ocupados","04-Triângulo Mineiro","ARMA(1,2)",7,543.1,0.2941,2368.697,31.44
"ocupados","05-Mata de Minas Gerais","AR(1)",5,499,0.5193,1615.852,15.48
"ocupados","06-Norte de Minas","AR(1)",5,526.7,0.4254,2649.815,12.51
"ocupados","07-Vale do Rio Doce","AR(1)",5,481.2,0.6969,995.605,25.02
"ocupados","08-Central","AR(1)",5,531.4,0.6172,3133.078,10.86
"taxa","01-Belo Horizonte","MA(1)",5,167.8,0.8298,1.514,12.63
"taxa","02-Colar e Entorno metropolitano de BH","MA(1)",5,185.5,0.0107,2.101,6.76
"taxa","03-Sul de Minas","MA(1)",5,172.7,0.0861,1.545,10.43
"taxa","04-Triângulo Mineiro","MA(1)",5,162.2,0.2152,1.211,21.33
"taxa","05-Mata de Minas Gerais","MA(2)",6,184.4,0.3596,1.367,18.63
"taxa","06-Norte de Minas","AR(1)",5,193.9,0.0044,2.438,6.7
"taxa","07-Vale do Rio Doce","MA(1)",5,198.7,0.3259,2.373,9.56
"taxa","08-Central","MA(1)",5,175.7,0.0155,1.719,11.15
