"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"desocupados","01-Belo Horizonte","Ruído branco",4,-192.34,393.5,400.5,0.5808,286.191,20.62
"desocupados","01-Belo Horizonte","AR(1)",5,-195.79,402.9,411.3,0.652,281.151,11.87
"desocupados","01-Belo Horizonte","AR(2)",6,-200.25,414.4,424.2,0.9062,265.996,9.96
"desocupados","01-Belo Horizonte","AR(3)",7,-204.8,426.1,437.3,0.8837,268.301,9.7
"desocupados","01-Belo Horizonte","AR(4)",8,-208.99,437.3,449.6,0.8476,253.738,9.8
"desocupados","01-Belo Horizonte","AR(5)",9,-216.18,454.7,467.9,0.8158,253.567,8.63
"desocupados","01-Belo Horizonte","AR(6)",10,-223.41,472.2,486.3,0.8791,253.706,-129.11
"desocupados","01-Belo Horizonte","MA(1)",5,-198.49,408.3,416.7,0.3811,296.513,12.2
"desocupados","01-Belo Horizonte","MA(2)",6,-202.46,418.8,428.6,0.8655,264.031,10.6
"desocupados","01-Belo Horizonte","MA(3)",7,-209.04,434.6,445.7,0.9045,265.743,9.5
"desocupados","01-Belo Horizonte","MA(4)",8,-213.92,447.2,459.5,0.8137,293.864,9.79
"desocupados","01-Belo Horizonte","MA(5)",9,-219.47,461.2,474.5,0.8378,275.44,-42.58
"desocupados","01-Belo Horizonte","MA(6)",10,-225.67,476.7,490.8,0.886,263.573,-189.62
"desocupados","01-Belo Horizonte","MA(4) desenho",8,-216.55,452.4,464.7,0.064,317.839,-3.15
"desocupados","02-Colar e Entorno metropolitano de BH","Ruído branco",4,-215.78,440.4,447.4,0.006,736.444,15
"desocupados","02-Colar e Entorno metropolitano de BH","AR(1)",5,-218.4,448.1,456.5,0.0239,703.201,5.69
"desocupados","02-Colar e Entorno metropolitano de BH","AR(2)",6,-225.09,464,473.9,0.0074,727.531,3.84
"desocupados","02-Colar e Entorno metropolitano de BH","AR(3)",7,-231.01,478.6,489.7,0.0019,774.523,2.12
"desocupados","02-Colar e Entorno metropolitano de BH","AR(4)",8,-236.44,492.2,504.5,9e-04,800.047,0.35
"desocupados","02-Colar e Entorno metropolitano de BH","AR(5)",9,-242.07,506.4,519.7,6e-04,840.616,-23.77
"desocupados","02-Colar e Entorno metropolitano de BH","AR(6)",10,-245.12,515.6,529.7,6e-04,811.025,-27.38
"desocupados","02-Colar e Entorno metropolitano de BH","MA(1)",5,-219.61,450.5,459,0.053,693.391,6.84
"desocupados","02-Colar e Entorno metropolitano de BH","MA(2)",6,-229.65,473.2,483,1e-04,811.335,1.75
"desocupados","02-Colar e Entorno metropolitano de BH","MA(3)",7,-234.09,484.7,495.8,0.0045,762.7,1.69
"desocupados","02-Colar e Entorno metropolitano de BH","MA(4)",8,-240.09,499.5,511.8,7e-04,902.36,1.37
"desocupados","02-Colar e Entorno metropolitano de BH","MA(5)",9,-247.04,516.4,529.6,0,904.092,-34.18
"desocupados","02-Colar e Entorno metropolitano de BH","MA(6)",10,-251.84,529.1,543.2,0.0011,840.733,-120.78
"desocupados","02-Colar e Entorno metropolitano de BH","MA(4) desenho",8,-236.06,491.5,503.7,0.0121,762.457,-2.94
"desocupados","03-Sul de Minas","Ruído branco",4,-198.49,405.8,412.8,0.0062,372.405,18.58
"desocupados","03-Sul de Minas","AR(1)",5,-199.27,409.8,418.3,0.0609,310.026,11.71
"desocupados","03-Sul de Minas","AR(2)",6,-201.69,417.3,427.1,0.094,323.563,10.84
"desocupados","03-Sul de Minas","AR(3)",7,-208.41,433.4,444.5,0.062,324.769,10.91
"desocupados","03-Sul de Minas","AR(4)",8,-215.78,450.9,463.2,0.0318,334.429,10.33
"desocupados","03-Sul de Minas","AR(5)",9,-222.31,466.9,480.2,0.0631,408.979,-22.21
"desocupados","03-Sul de Minas","AR(6)",10,-224.31,474,488.1,0.035,429.391,-33.37
