"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"desocupados","03-Sul de Minas","Ruído branco",4,-198.49,405.8,412.8,0.0061,372.493,18.61
"desocupados","03-Sul de Minas","AR(1)",5,-199.27,409.8,418.3,0.0609,310.021,11.7
"desocupados","03-Sul de Minas","AR(2)",6,-201.69,417.3,427.1,0.0951,323.502,10.91
"desocupados","03-Sul de Minas","AR(3)",7,-208.41,433.4,444.5,0.0618,324.8,10.92
"desocupados","03-Sul de Minas","AR(4)",8,-215.78,450.9,463.2,0.0318,334.45,10.33
"desocupados","03-Sul de Minas","AR(5)",9,-222.31,466.9,480.2,0.0629,408.862,-22.21
"desocupados","03-Sul de Minas","AR(6)",10,-224.31,474,488.1,0.0349,433.306,-33.42
"desocupados","03-Sul de Minas","MA(1)",5,-199.86,411,419.5,0.0685,299.864,13.93
"desocupados","03-Sul de Minas","MA(2)",6,-206.82,427.5,437.4,0.1187,330.816,11.11
"desocupados","03-Sul de Minas","MA(3)",7,-212.77,442.1,453.2,0.0956,330.539,10.77
"desocupados","03-Sul de Minas","MA(4)",8,-218.51,456.4,468.6,0.0243,356.96,10.55
"desocupados","03-Sul de Minas","MA(5)",9,-224.76,471.8,485.1,0.0427,420.47,-25.63
"desocupados","03-Sul de Minas","MA(6)",10,-229.77,484.9,499,0.028,336.094,-130.95
"desocupados","03-Sul de Minas","MA(4) desenho",8,-218.05,455.5,467.7,0.0559,340.318,-0.58
