"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"taxa","08-Central","Ruído branco",4,-75.71,160.3,167.2,0.0653,2.026,16.28
"taxa","08-Central","AR(1)",5,-76.95,165.2,173.6,0.0252,1.773,9.92
"taxa","08-Central","AR(2)",6,-81.25,176.4,186.2,0.0117,1.764,9.87
"taxa","08-Central","AR(3)",7,-87.8,192.1,203.3,0.1338,1.829,8.46
"taxa","08-Central","AR(4)",8,-93.41,206.2,218.4,0.1021,1.837,7.44
"taxa","08-Central","AR(5)",9,-96.35,215,228.3,0.1042,1.901,7.39
"taxa","08-Central","AR(6)",10,-105.07,235.5,249.7,0.0014,1.796,-295.51
"taxa","08-Central","MA(1)",5,-78,167.3,175.7,0.0155,1.719,11.15
"taxa","08-Central","MA(2)",6,-84.16,182.2,192,0.0099,1.755,10.02
"taxa","08-Central","MA(3)",7,-90.27,197.1,208.2,0.0153,1.744,8.95
"taxa","08-Central","MA(4)",8,-96.73,212.8,225.1,0.1411,1.916,8.27
"taxa","08-Central","MA(5)",9,-103.45,229.2,242.5,0.1081,1.91,-212.84
"taxa","08-Central","MA(6)",10,-107.9,241.2,255.3,0.0013,1.693,-730.74
"taxa","08-Central","MA(4) desenho",8,-94.42,208.2,220.4,0.2672,1.62,-0.79
