"indicador","regiao","escolhido","comparavel","delta_aic_lambda","rho","amplitude_lambda_pct","cv_modelo","cv_design","ganho_cv_pct","dif_max_pct","starts_ok","spread_ll","ruido_medio_pct"
"desocupada","01-Belo Horizonte","fixo",TRUE,14.2,0.765,10.16,7.09,11.59,38.8,36.61,"6/8",0.84,25.4
"ocupada","01-Belo Horizonte","fixo",TRUE,7,0.9823,4.68,3.84,8.33,54,10.67,"3/8",2.49,18.6
"desocupada","02-Colar e Entorno Metropolitano de BH","fixo",TRUE,5.4,0.7955,8.7,8.86,11.54,23.2,36.18,"5/8",1.99,25.5
"ocupada","02-Colar e Entorno Metropolitano de BH","fixo",TRUE,20,0.987,5.4,3.71,8.57,56.7,16.25,"7/8",8.4,19.1
"desocupada","03-Sul de Minas","nao",TRUE,-17.6,0.844,NA,12.65,15.04,15.9,49.81,"5/8",1.61,32.9
"ocupada","03-Sul de Minas","fixo",TRUE,11.3,0.9889,5.59,3.88,9.62,59.7,14.85,"5/8",5.5,21.2
"ocupada","04-Triângulo Mineiro","fixo",TRUE,21.3,0.9878,6,4.33,11.05,60.8,23.6,"6/8",8.16,23.7
"desocupada","05-Mata de Minas Gerais","nao",TRUE,-2.8,0.8278,NA,13.55,15.43,12.2,59.73,"6/8",9,33.3
"ocupada","05-Mata de Minas Gerais","fixo",TRUE,2.9,0.986,4.81,3.59,9.98,64,21.52,"5/8",1.13,22
"desocupada","06-Norte de Minas","nao",TRUE,-3.4,0.8382,NA,10.55,13.57,22.3,42.55,"5/8",1.1,29.5
"ocupada","06-Norte de Minas","fixo",TRUE,8.7,0.9867,4.89,4.2,9.83,57.3,27.4,"7/8",4.71,21.7
"desocupada","07-Vale do Rio Doce","nao",TRUE,-13.1,0.9049,NA,14.99,15.76,4.9,83.6,"8/8",6.14,34.2
"ocupada","07-Vale do Rio Doce","fixo",TRUE,19.5,0.9889,6.83,4.47,11.34,60.6,25.18,"5/8",3.66,24.9
"desocupada","08-Central","nao",TRUE,-13.4,0.769,NA,12.05,15.18,20.6,60.11,"7/8",1.39,33.1
"ocupada","08-Central","fixo",TRUE,8.3,0.992,4.88,4.02,10.33,61.1,26.8,"6/8",1.95,22.8
"desocupada","09 - Minas Gerais","nao",TRUE,-4.8,0.6567,NA,3.8,4.97,23.5,9.02,"6/8",17.15,11.1
"ocupada","09 - Minas Gerais","fixo",TRUE,119.4,0.9798,6.46,1.63,3.45,52.8,6.49,"7/8",152.37,7.7
